HEU X,HEU Y,HEU Z
-25,-25,-25
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.81800228569e-07,0.000300977124654
0.101,2.9182255649e-12,0.09629376218
0.102,1.67446404447e-13,0.399675100259
0.103,2.41063332244e-13,0.342560196035
0.104,2.50275164619e-13,0.363253117794
0.105,2.13984409878e-13,0.341106690949
0.106,2.64635767935e-13,0.345814674195
0.107,1.70057740297e-13,0.42358472338
0.108,1.87561735792e-13,0.369195362939
0.109,6.44723993105e-14,0.487276445843
0.11,1.7090721056e-13,0.339366781388
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.32057238175e-07,0.000253220657474
0.101,4.8961156513e-12,0.0777207583772
0.102,3.67012407502e-13,0.269944179587
0.103,4.19463769029e-13,0.256608028394
0.104,2.2002724432e-13,0.330207983089
0.105,2.81164459538e-13,0.306615993456
0.106,3.78251025931e-13,0.257612410061
0.107,3.53852609884e-13,0.301083244175
0.108,2.21137766888e-13,0.384646701474
0.109,3.07509765462e-13,0.273463482667
0.11,3.28927609867e-13,0.280810901195
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.13343758049e-06,0.000172830362003
0.101,1.01515826748e-11,0.0507000144557
0.102,5.98466503514e-13,0.20068770546
0.103,7.16502566937e-13,0.184259109085
0.104,9.5545290961e-13,0.158460266597
0.105,1.05849675152e-12,0.160999176171
0.106,8.24364956832e-13,0.166800173863
0.107,8.41567804969e-13,0.179117610662
0.108,7.76812217245e-13,0.178707556377
0.109,8.1419814613e-13,0.173086869903
0.11,1.04391436121e-12,0.156431334253
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.3207083481e-07,0.000253255238721
0.101,4.33765246786e-12,0.082135924894
0.102,2.74499793873e-13,0.281010420457
0.103,2.91789740277e-13,0.275621375062
0.104,4.08381785922e-13,0.253760700198
0.105,4.57570766756e-13,0.257404800496
0.106,3.86254648439e-13,0.279347239364
0.107,3.42226656109e-13,0.258165442438
0.108,3.46099774742e-13,0.295497927644
0.109,3.18414744233e-13,0.271244712103
0.11,4.88791384667e-13,0.23090251525
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.62973415686e-07,0.000225793463222
0.101,5.07519978342e-12,0.0703139702214
0.102,5.47825377161e-13,0.224839266336
0.103,5.30987525028e-13,0.219193976253
0.104,5.49110230732e-13,0.210004809067
0.105,4.06365060556e-13,0.251184142634
0.106,4.92701634119e-13,0.224915134487
0.107,7.69011201734e-13,0.223743886102
0.108,6.91499572073e-13,0.202356334262
0.109,5.86623110124e-13,0.212654063868
0.11,7.94052497049e-13,0.180627339771
