HEU X,HEU Y,HEU Z
-25,0,25
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.81374401833e-07,0.000239933407982
0.101,3.15938315998e-12,0.0728318408082
0.102,1.90234996995e-13,0.25418961243
0.103,1.38769670783e-13,0.291770358287
0.104,1.8725224809e-13,0.282772664527
0.105,2.2083884222e-13,0.245324468535
0.106,1.71051134574e-13,0.270243230778
0.107,2.59098543576e-13,0.270523038014
0.108,2.38258429937e-13,0.268273581474
0.109,2.9238385922e-13,0.224125318381
0.11,2.22355653814e-13,0.299983236446
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.22037596896e-07,0.000204110395118
0.101,4.47908161345e-12,0.0652489184317
0.102,2.06705031054e-13,0.261046936145
0.103,2.1378084221e-13,0.287788395027
0.104,2.12200781964e-13,0.284284948786
0.105,2.85668672062e-13,0.213706001828
0.106,1.603521251e-13,0.267602722842
0.107,1.44872613347e-13,0.294531132956
0.108,1.41584722785e-13,0.286448542599
0.109,2.39040227784e-13,0.252161969008
0.11,2.22643146769e-13,0.277990798822
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.09595113136e-06,0.000140470173482
0.101,9.66057612979e-12,0.0413877857073
0.102,4.42997523061e-13,0.170412067959
0.103,4.9097918502e-13,0.181299173995
0.104,3.19654937847e-13,0.222987031349
0.105,3.17421962714e-13,0.212726726671
0.106,4.72811531251e-13,0.189079168649
0.107,4.05792723931e-13,0.213170175353
0.108,2.23739798682e-13,0.250954594566
0.109,3.88445422834e-13,0.214817377498
0.11,3.99402311629e-13,0.197617020947
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.13777203871e-07,0.000206123034376
0.101,3.70302494855e-12,0.0703696947312
0.102,1.34402889608e-13,0.361856076892
0.103,1.53752365023e-13,0.308749519798
0.104,3.85662928923e-14,0.478673777147
0.105,1.48385584397e-13,0.320086124072
0.106,1.79999037787e-13,0.291887763377
0.107,1.35534716625e-13,0.364023944566
0.108,7.12126222638e-14,0.415133317624
0.109,6.6891512074e-14,0.444608640595
0.11,1.21782577957e-13,0.369753757444
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.18181523009e-07,0.000187597210864
0.101,4.31157641848e-12,0.0618308555272
0.102,1.09840981184e-13,0.337346933706
0.103,5.40973946337e-14,0.339754850977
0.104,8.94855474082e-14,0.390284298539
0.105,1.17050252952e-13,0.367950294203
0.106,9.88910712629e-14,0.375500156599
0.107,1.15537224994e-13,0.361779254059
0.108,1.13179997461e-13,0.359219677823
0.109,8.49093180962e-14,0.428565801141
0.11,8.99240767331e-14,0.371071309317
