HEU X,HEU Y,HEU Z
0,0,0
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.95618865276e-07,0.000208034466655
0.101,3.7703724306e-12,0.0576197116349
0.102,3.72544621397e-13,0.184813009873
0.103,4.3755914919e-13,0.16966813865
0.104,4.32574122778e-13,0.161270346717
0.105,4.02179234104e-13,0.169829186282
0.106,4.1227480145e-13,0.182513171534
0.107,3.805414193e-13,0.180273018827
0.108,4.76061133679e-13,0.164728576309
0.109,5.02238518503e-13,0.165595928214
0.11,4.10042184393e-13,0.16788867827
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.36399445806e-07,0.000178022635436
0.101,5.01481750971e-12,0.0544871308841
0.102,3.90684116055e-13,0.175392546546
0.103,2.57487529629e-13,0.184405707829
0.104,3.74793087811e-13,0.189237199934
0.105,3.32866493995e-13,0.170585106615
0.106,2.89094538802e-13,0.185976659169
0.107,3.86676067328e-13,0.171496777909
0.108,3.68230743485e-13,0.190484692196
0.109,4.34702622344e-13,0.171279707556
0.11,4.27319414583e-13,0.165341564665
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.15805601856e-06,0.000120974771253
0.101,1.19929990301e-11,0.0332817391575
0.102,1.07035298122e-12,0.108085617667
0.103,1.24314832662e-12,0.101438015543
0.104,1.26744946021e-12,0.109878532181
0.105,1.10706115823e-12,0.104307562656
0.106,1.24489823954e-12,0.106019958729
0.107,1.03878008913e-12,0.11430477508
0.108,1.10796044908e-12,0.1047147875
0.109,1.05514930275e-12,0.108877135689
0.11,1.04625540289e-12,0.118043997464
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.36414501449e-07,0.00017803528094
0.101,4.45063770969e-12,0.0553030902779
0.102,3.49883575843e-13,0.215285346259
0.103,3.64904062519e-13,0.171693361109
0.104,4.92921941033e-13,0.160713049645
0.105,4.36760129251e-13,0.175266565294
0.106,2.95444279726e-13,0.188482173385
0.107,2.88370925032e-13,0.214035512437
0.108,4.07151573808e-13,0.168560563115
0.109,3.2114402767e-13,0.192934416237
0.11,2.99330736166e-13,0.194612369813
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.41720570016e-07,0.000162633101606
0.101,4.8946370933e-12,0.0518331770067
0.102,4.24350102608e-13,0.165771855147
0.103,4.85174959664e-13,0.160877203399
0.104,3.28915263397e-13,0.189729608526
0.105,2.2908977038e-13,0.210761566993
0.106,3.70453659897e-13,0.196805712019
0.107,4.73280048609e-13,0.17174211062
0.108,3.47974696836e-13,0.165966976325
0.109,3.33562186868e-13,0.199971557386
0.11,2.39909427873e-13,0.230979448987
