HEU X,HEU Y,HEU Z
0,0,0
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.9573875679e-07,0.000550268640368
0.101,2.93454060106e-12,0.17091895714
0.102,6.5460981063e-13,0.386891752196
0.103,5.8242178854e-13,0.393712780334
0.104,1.65417364126e-13,0.555747287842
0.105,4.94269721103e-13,0.43956441263
0.106,1.85992125633e-13,0.581343838864
0.107,6.38514542982e-13,0.417780635152
0.108,6.52087051975e-13,0.336640687332
0.109,5.02269755318e-13,0.392388963259
0.11,3.92190801295e-13,0.462174789072
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.36188502983e-07,0.000471042515132
0.101,5.83086824532e-12,0.134042099465
0.102,3.22085105106e-13,0.420161099791
0.103,4.49320624573e-13,0.386127344102
0.104,3.00607281644e-13,0.695578833531
0.105,5.52422415689e-14,1.0
0.106,2.25415627905e-13,0.599436574688
0.107,6.31005385722e-13,0.338829629423
0.108,5.66339104433e-13,0.523509265304
0.109,4.55687853662e-13,0.397600131304
0.11,5.72177528992e-13,0.40304313254
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.15817383733e-06,0.000320052879742
0.101,1.2371975583e-11,0.0875082328193
0.102,1.16535346966e-12,0.262458893726
0.103,1.70225578323e-12,0.228436325715
0.104,1.3616312394e-12,0.372483219584
0.105,7.79920343259e-13,0.288748699861
0.106,1.61454658685e-12,0.271760792943
0.107,9.93735344114e-13,0.313116595657
0.108,1.47099038868e-12,0.240766340927
0.109,5.41887397591e-13,0.366215275776
0.11,9.99438818467e-13,0.310566230119
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.36301743785e-07,0.000471061823806
0.101,4.46328293081e-12,0.148279711819
0.102,4.50073463933e-13,0.378880077656
0.103,3.49267452441e-13,0.383843762777
0.104,6.34853475303e-13,0.428142019278
0.105,2.59917347629e-13,0.516085821873
0.106,2.46530951309e-13,0.601653493075
0.107,3.04700629007e-13,0.478341999267
0.108,5.99492037905e-13,0.394191861078
0.109,1.4563352412e-13,0.51687513015
0.11,4.87829590063e-13,0.428290567675
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.41844749906e-07,0.000430228026382
0.101,4.49032628865e-12,0.140598401406
0.102,6.51057610598e-13,0.380782746327
0.103,5.85226206928e-13,0.37008757912
0.104,2.40266255614e-13,0.592703750779
0.105,1.62129582998e-13,0.520759245986
0.106,2.65495271159e-13,0.508900813868
0.107,4.85884864333e-13,0.507470485046
0.108,2.45799432636e-13,0.543381940079
0.109,2.32318010499e-13,0.660157194262
0.11,7.70390209036e-14,0.646178670306
