HEU X,HEU Y,HEU Z
0,0,0
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.95584140678e-07,0.000348113661351
0.101,2.84651688053e-12,0.102805899927
0.102,6.38392597517e-13,0.257952863394
0.103,5.37537337556e-13,0.246846830813
0.104,4.0561991038e-13,0.298957116996
0.105,3.3595687422e-13,0.322404278841
0.106,3.33031306634e-13,0.352601959811
0.107,4.63026193537e-13,0.289341184027
0.108,4.58108770089e-13,0.241848506504
0.109,4.41681375274e-13,0.264493965996
0.11,2.94657915335e-13,0.334664087483
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.36297061521e-07,0.000297893166994
0.101,4.88748079603e-12,0.092969379982
0.102,4.49537732012e-13,0.260832188165
0.103,3.45870989077e-13,0.267713430776
0.104,3.63591035717e-13,0.337504844489
0.105,3.20991570461e-13,0.302426732251
0.106,2.66383479727e-13,0.301481876196
0.107,4.6103291108e-13,0.257641430018
0.108,3.75335133129e-13,0.356762448114
0.109,5.49062763664e-13,0.265153386257
0.11,4.29271040924e-13,0.296792396354
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.15809845063e-06,0.000202427349218
0.101,1.20072065566e-11,0.0559731138653
0.102,9.72887667983e-13,0.185460168941
0.103,1.26401038867e-12,0.166954330471
0.104,1.22154955135e-12,0.206407720929
0.105,1.10237474326e-12,0.183597879385
0.106,1.31804071549e-12,0.179655343211
0.107,1.12755524399e-12,0.183185681983
0.108,1.29907489078e-12,0.170053626942
0.109,9.66310040928e-13,0.177906871909
0.11,9.08627680178e-13,0.198877896601
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.36521125987e-07,0.00029787771422
0.101,4.6349936795e-12,0.0919540069441
0.102,4.9762899948e-13,0.342802104494
0.103,4.54331800735e-13,0.254548783631
0.104,4.3924464724e-13,0.299183656868
0.105,3.27977865057e-13,0.311695238721
0.106,3.82019628063e-13,0.288371481443
0.107,2.07687026466e-13,0.341973027065
0.108,4.2476993698e-13,0.285156115544
0.109,4.22664509808e-13,0.305848815792
0.11,3.79592426383e-13,0.297103664727
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.4185964959e-07,0.000272100396249
0.101,4.63494544754e-12,0.0848525015048
0.102,3.93691104942e-13,0.284115874026
0.103,5.24139038831e-13,0.250939688126
0.104,4.14187696163e-13,0.294259491068
0.105,2.58774937285e-13,0.351454795862
0.106,4.48069622831e-13,0.307173574114
0.107,3.53077526805e-13,0.351162117039
0.108,4.51650177218e-13,0.258758721495
0.109,2.54067792355e-13,0.375355036367
0.11,1.29401858699e-13,0.433756882729
