HEU X,HEU Y,HEU Z
25,0,-25
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.74862171692e-07,0.000464608195979
0.101,2.1322015648e-12,0.157249712328
0.102,1.34015980157e-13,0.754174467848
0.103,3.67621562216e-13,0.446561255151
0.104,4.2975170074e-14,0.906108828273
0.105,1.16220320171e-13,0.620400120337
0.106,2.07072101055e-13,0.630895406428
0.107,2.78036445526e-13,0.4122129845
0.108,1.832082744e-13,0.680165701699
0.109,1.12080996773e-13,0.656601055478
0.11,1.23016963622e-13,0.756385508268
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.14518190428e-07,0.000394402288312
0.101,4.30088847696e-12,0.12346694277
0.102,6.20878061571e-14,0.999999974858
0.103,1.47137887556e-13,0.592028036695
0.104,2.35283998768e-13,0.731798094772
0.105,4.39730656597e-14,0.662509916242
0.106,3.37299312812e-14,0.99999999996
0.107,2.73590593379e-13,0.528690537517
0.108,6.41445485896e-14,0.707131491132
0.109,2.46485530105e-13,0.54566358854
0.11,1.81576712777e-13,0.443854815642
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.13808790179e-06,0.000265367972337
0.101,1.16175892371e-11,0.075306135998
0.102,6.88147628692e-13,0.291455386397
0.103,9.79515373565e-13,0.257347357721
0.104,6.24846137369e-13,0.27290400433
0.105,9.20622913122e-13,0.249004681694
0.106,1.28027730192e-12,0.230947156325
0.107,1.42987350048e-12,0.238947694466
0.108,9.0455852821e-13,0.269902710823
0.109,1.14604176529e-12,0.231530083097
0.11,7.00557130852e-13,0.300650736408
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.42568682496e-07,0.000383632684858
0.101,4.76065614742e-12,0.120648399513
0.102,5.82592018747e-13,0.334983833238
0.103,5.92819950168e-13,0.325066798073
0.104,7.71140238068e-13,0.327345426855
0.105,8.26284591464e-13,0.273486696751
0.106,5.02806333469e-13,0.324823311223
0.107,6.69311980162e-13,0.274851620704
0.108,3.27811813451e-13,0.361491194556
0.109,7.07052435826e-13,0.261762812117
0.11,5.12417680961e-13,0.390367340521
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.48134842253e-07,0.000350536341634
0.101,5.45399048852e-12,0.105648411597
0.102,4.43715691721e-13,0.37317160219
0.103,5.25844502987e-13,0.324987637901
0.104,4.01832776755e-13,0.333602588951
0.105,5.49533450482e-13,0.38148372835
0.106,5.11267122727e-13,0.329476180914
0.107,7.03154724222e-13,0.281615025253
0.108,3.8255123224e-13,0.431881777646
0.109,5.22809403309e-13,0.283377433573
0.11,6.64574975221e-13,0.291647626756
