HEU X,HEU Y,HEU Z
empty,,
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.63501658309e-07,0.000198812382627
0.101,2.83118729058e-12,0.0618636058192
0.102,3.5835350654e-21,0.997610843297
0.103,8.84296102546e-34,1.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.03382010111e-07,0.000167874052423
0.101,3.84571401898e-12,0.0567111411673
0.102,2.78447911134e-22,0.985484179714
0.103,5.62214033053e-35,1.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.06246405516e-06,0.000115104985745
0.101,9.02569093189e-12,0.0348368568238
0.102,9.5652955606e-24,0.509567155492
0.103,5.79607821159e-34,1.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.03367617187e-07,0.000167884774759
0.101,3.53483705482e-12,0.0580663200064
0.102,1.68651655971e-24,0.572593414006
0.103,0.0,0.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.07496913421e-07,0.00015250733546
0.101,4.36117586879e-12,0.0513408138056
0.102,3.03758703486e-24,0.409713234482
0.103,4.2756941193e-28,1.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
