HEU X,HEU Y,HEU Z
empty,,
detector location: NE
time bin upper bound,flux mean,flux RE
0.1,3.63481899146e-07,0.00012085556322
0.101,3.01450955557e-12,0.0379092336439
0.102,1.32995837946e-21,0.993406295888
0.103,8.68531852581e-34,0.728434446988
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: NW
time bin upper bound,flux mean,flux RE
0.1,5.03410311929e-07,0.000102053601432
0.101,3.67620746426e-12,0.034411487495
0.102,1.04504470174e-22,0.970424393491
0.103,2.07774751346e-35,1.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: CC
time bin upper bound,flux mean,flux RE
0.1,1.06239880349e-06,6.9976574852e-05
0.101,9.08400142435e-12,0.0211077849515
0.102,6.56729685558e-22,0.97202501737
0.103,6.74242158484e-33,0.967768731873
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: SE
time bin upper bound,flux mean,flux RE
0.1,5.03355433794e-07,0.000102062531935
0.101,3.75658523129e-12,0.0338954267708
0.102,9.41940007554e-24,0.452285926794
0.103,0.0,0.0
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
detector location: SW
time bin upper bound,flux mean,flux RE
0.1,6.07535247072e-07,9.27114435074e-05
0.101,4.20095023563e-12,0.0318895927496
0.102,1.210993689e-23,0.780398643762
0.103,1.6098402183e-28,0.981728967519
0.104,0.0,0.0
0.105,0.0,0.0
0.106,0.0,0.0
0.107,0.0,0.0
0.108,0.0,0.0
0.109,0.0,0.0
0.11,0.0,0.0
